genres,app_name,tags,id
", ', R, a, c, i, n, g, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, p, o, r, t, s, ', ",RIDE: Season Pass,"['Simulation', 'Racing', 'Sports']",350560.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",God Of Light: Remastered - OST,"['Indie', 'Casual']",748080.0
", ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Children of Zodiarcs,"['RPG', 'Indie', 'Strategy', 'Card Game', 'Tactical RPG', 'Turn-Based Strategy', 'Turn-Based', 'Female Protagonist', 'Board Game', 'Trading Card Game', 'Story Rich', 'Singleplayer', 'Character Customization', 'JRPG', 'Great Soundtrack']",436290.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Strike Suit Zero Heroes of the Fleet DLC,"['Action', 'Indie', 'Simulation']",209548.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Empire of the Gods,"['Indie', 'Casual', 'Strategy', 'Card Game']",436140.0
", ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",MARS SIMULATOR - RED PLANET,"['Casual', 'Simulation']",587330.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",The Slaughter: Act One,"['Adventure', 'Indie', 'Mystery', 'Noir', 'Crime', 'Point & Click', 'Dark Humor', 'Horror', 'Story Rich', 'Pixel Graphics']",356390.0
", ', A, n, i, m, a, t, i, o, n,  , &, a, m, p, ;,  , M, o, d, e, l, i, n, g, ', ,,  , ', A, u, d, i, o,  , P, r, o, d, u, c, t, i, o, n, ', ,,  , ', D, e, s, i, g, n,  , &, a, m, p, ;,  , I, l, l, u, s, t, r, a, t, i, o, n, ', ,,  , ', S, o, f, t, w, a, r, e,  , T, r, a, i, n, i, n, g, ', ,,  , ', V, i, d, e, o,  , P, r, o, d, u, c, t, i, o, n, ', ",Ozapell Basic,"['Design & Illustration', 'Software Training', 'Animation & Modeling', 'Audio Production', 'Video Production', 'Programming', 'Game Development', 'Retro', 'Family Friendly', 'Pixel Graphics']",523410.0
", ', A, c, t, i, o, n, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ",Warframe Mirage Prime Access: Hall of Mirrors Pack,"['Action', 'Free to Play', 'Violent']",759100.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ",Midsummer Night,"['Adventure', 'Casual', 'Pixel Graphics']",412150.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",Lemma OST,"['Action', 'Adventure', 'Indie']",386000.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",Caveblazers - Arena Mode,"['Action', 'Adventure', 'Indie', 'Gore', 'Violent']",767570.0
", ', R, P, G, ', ",Fairy Fencer F ADF Veteran Fencer Armor Set | 上級フェンサー防具セット | 高階劍士防具套組,"['RPG', 'Sexual Content']",524590.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, a, c, i, n, g, ', ",STANDBY – Wallpapers,"['Action', 'Adventure', 'Indie', 'Racing']",578201.0
", ', A, d, v, e, n, t, u, r, e, ', ",Ankh - Anniversary Edition,"['Adventure', 'Point & Click', 'Singleplayer', 'Comedy', 'Third Person', 'Dark Humor', 'Puzzle', 'Classic', 'Great Soundtrack', 'Atmospheric']",353980.0
", ', A, c, t, i, o, n, ', ",Headlander - Soundtrack,['Action'],501260.0
", ', A, c, t, i, o, n, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",CroNix - Bronze starter Pack,"['Strategy', 'Action', 'Casual', 'Free to Play']",346540.0
", ', A, c, t, i, o, n, ', ",Samurai Warriors Mashup Set,['Action'],445262.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ",Escape From Nazi Labs - Original Soundtrack,"['Action', 'RPG', 'Indie']",582250.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ",Ashworld,"['Adventure', 'Action', 'Pixel Graphics', 'Platformer', 'Open World', 'Indie', 'Action-Adventure', 'Post-apocalyptic']",580320.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Blossoms Bloom Brightest,"['Indie', 'Casual', 'Adventure', 'Visual Novel', 'Female Protagonist']",437720.0
", ', A, c, t, i, o, n, ', ,,  , ', R, P, G, ', ",Borderlands 2: Gunzerker Dapper Gent Pack,"['Action', 'RPG']",224161.0
", ', R, P, G, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Crusader Kings II: Saxon Unit Pack,"['Strategy', 'RPG', 'Simulation', 'Grand Strategy']",226672.0
", ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Rocksmith - The Vines - Get Free,"['Casual', 'Simulation']",222112.0
", ', C, a, s, u, a, l, ', ",Hotel Dash™ Suite Success™,['Casual'],49000.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",Belladonna,"['Adventure', 'Indie', 'Point & Click', 'Female Protagonist', 'Gothic', 'Horror', 'Short']",351340.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ,,  , ', E, a, r, l, y,  , A, c, c, e, s, s, ', ",Terra Incognita ~ Chapter One: The Descendant,"['Early Access', 'Indie', 'Adventure', 'RPG', 'RPGMaker', 'JRPG', 'Story Rich']",347560.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', R, P, G, ', ",Assassin's Creed® Origins - Season Pass,"['Adventure', 'RPG', 'Action']",660080.0
", ', S, t, r, a, t, e, g, y, ', ",Napoleon: Total War™ Imperial Edition,"['Strategy', 'Historical', 'Grand Strategy', 'RTS', 'Multiplayer', 'War', 'Turn-Based Strategy', 'Tactical', 'Singleplayer', 'Military', 'Turn-Based', 'Real Time Tactics', 'Action', 'Turn-Based Tactics', 'Simulation', 'Co-op', 'Great Soundtrack', 'Naval', 'Moddable']",901162.0
", ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Rocksmith® 2014 – Biffy Clyro - “Many of Horror”,"['Casual', 'Simulation']",294974.0
", ', S, p, o, r, t, s, ', ",Handball 17,['Sports'],526980.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Douche Bag,"['Indie', 'Casual', 'Adventure']",681650.0
", ', A, c, t, i, o, n, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', I, n, d, i, e, ', ,,  , ', M, a, s, s, i, v, e, l, y,  , M, u, l, t, i, p, l, a, y, e, r, ', ",emoj.io,"['Psychological Horror', 'Nudity', 'Memes', 'Sexual Content', 'Illuminati', 'Free to Play', 'Anime', 'Gore', 'Horror', 'Casual', 'Massively Multiplayer', 'Indie', 'Story Rich', 'Action', 'Post-apocalyptic', 'Dating Sim', 'Cold War', 'Violent', 'Great Soundtrack', 'Funny']",530900.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",SoulFrost,"['Action', 'Indie']",675220.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ",Putt-Putt® Joins the Circus,"['Casual', 'Adventure', 'Point & Click', 'Family Friendly', 'Gore', 'Psychological Horror']",294690.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",No God For Us,"['Indie', 'Casual', 'Adventure', 'Exploration']",713390.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ","Jamestown: Gunpowder, Treason, & Plot","['Action', 'Indie']",94202.0
", ', A, c, t, i, o, n, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Mold on Pizza 🍕,"['Strategy', 'Indie', 'Action', 'Casual', 'Cute']",387870.0
", ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Rocksmith® 2014 – Brooks & Dunn - “Only In America”,"['Casual', 'Simulation']",436653.0
", ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, p, o, r, t, s, ', ",Hunting Unlimited 2010,"['Simulation', 'Hunting', 'Sports', 'America']",12690.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Zup! 4,"['Indie', 'Casual', 'Puzzle', 'Minimalist', 'Short', '2D', 'Singleplayer']",591420.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",Mecha Ritz: Steel Rondo,"['Indie', 'Action', ""Shoot 'Em Up"", 'Bullet Hell']",463070.0
", ', A, c, t, i, o, n, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Iron Impact,"['Action', 'Casual', 'Strategy', 'Simulation', 'Tanks', 'Top-Down Shooter']",461690.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",STATUS: INSANE,"['Adventure', 'Action', 'Indie', 'Strategy', 'Puzzle', 'Stealth', 'Funny', 'Cartoon']",654430.0
", ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Content Pack - Europa Universalis IV: Mare Nostrum,"['Strategy', 'Simulation']",436121.0
", ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', S, t, r, a, t, e, g, y, ', ,,  , ', E, a, r, l, y,  , A, c, c, e, s, s, ', ",ComPet - Beast Battles,"['Early Access', 'Free to Play', 'Strategy']",532800.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', E, a, r, l, y,  , A, c, c, e, s, s, ', ",Unexpected End,"['Early Access', 'Adventure', 'Puzzle', 'First-Person']",740170.0
", ', R, P, G, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Tropico 5 - T-Day,"['Strategy', 'Simulation', 'RPG']",306392.0
", ', S, i, m, u, l, a, t, i, o, n, ', ",Yu-Gi-Oh! Legacy of the Duelist,"['Card Game', 'Anime', 'Trading Card Game', 'Multiplayer', 'Simulation', 'Strategy', 'Singleplayer']",480650.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', I, n, d, i, e, ', ,,  , ', M, a, s, s, i, v, e, l, y,  , M, u, l, t, i, p, l, a, y, e, r, ', ",The Old Empire Multiplayer,"['Free to Play', 'Action', 'Adventure', 'Massively Multiplayer', 'Indie', 'Violent']",746870.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",UBERMOSH Vol.3,"['Action', 'Indie', 'Arcade', 'Great Soundtrack', 'Fast-Paced', 'Pixel Graphics']",515570.0
", ', A, c, t, i, o, n, ', ",Zombeer,"['Action', 'Zombies', 'Dark Humor', 'Mature', 'Nudity', 'FPS', 'Comedy']",262190.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",Super Galaxy Squadron EX Turbo,"['Indie', ""Shoot 'Em Up"", 'Retro', 'Action', 'Bullet Hell', 'Arcade', 'Pixel Graphics', 'Difficult']",345860.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",Kromaia,"['Indie', 'Action', ""Shoot 'Em Up"", 'Arcade', 'Bullet Hell', 'Space', 'Singleplayer', 'Shooter', '6DOF']",285980.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ",Dungeons of Dredmor: Realm of the Diggle Gods,"['RPG', 'Indie', 'Casual', 'Rogue-like']",98820.0
", ', A, c, t, i, o, n, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Modern Combat,"['Strategy', 'Action', 'Free to Play']",341300.0
", ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ,,  , ', E, a, r, l, y,  , A, c, c, e, s, s, ', ",Pro Farm Manager,"['Early Access', 'Strategy', 'Simulation', 'Resource Management', 'Open World', 'Multiplayer', 'Realistic']",517270.0
", ', A, c, t, i, o, n, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Mazement,"['Action', 'Indie', 'Casual', 'Puzzle']",431410.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",Adventure Apes and the Mayan Mystery,"['Indie', 'Adventure', 'Metroidvania', 'Pixel Graphics', 'Platformer']",461830.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",White Day - Beachwear Costume - So-Young Han,"['Indie', 'Action', 'Adventure']",686970.0
", ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Rocksmith® 2014 – Collective Soul - “Heavy”,"['Casual', 'Simulation']",436581.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",Bloody Streets - Soundtrack and Art Book,"['Action', 'Indie']",354300.0
", ', A, c, t, i, o, n, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', S, t, r, a, t, e, g, y, ', ,,  , ', E, a, r, l, y,  , A, c, c, e, s, s, ', ",Mini Guns,"['Early Access', 'Free to Play', 'Strategy', 'Action', 'Multiplayer']",649900.0
", ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Fantasy Grounds - Pathfinder RPG - Rise of the Runelords Adventure Path Anniversary Edition (PFRPG),"['RPG', 'Indie', 'Strategy', 'Utilities', 'Turn-Based', 'Fantasy', 'Story Rich', 'Online Co-Op', 'Software', 'Party-Based RPG']",627030.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",端木斐异闻录：非人之恋 - 原声集（OST）,"['Adventure', 'Indie']",742430.0
", ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Rocksmith® 2014 Edition – Remastered – Third Eye Blind - “Never Let You Go,"['Casual', 'Simulation']",509672.0
", ', S, i, m, u, l, a, t, i, o, n, ', ",TS Marketplace: Hbins 292 Wagon Pack Add-On,['Simulation'],326035.0
", ', A, c, t, i, o, n, ', ",Street Fighter X Tekken: Street Fighter Boost Gem Pack 1,['Action'],210074.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, p, o, r, t, s, ', ",Casino Slot Machines - The Golden Shrine Casino,"['Adventure', 'Indie', 'Casual', 'Simulation', 'Sports']",770030.0
", ', M, a, s, s, i, v, e, l, y,  , M, u, l, t, i, p, l, a, y, e, r, ', ,,  , ', R, P, G, ', ",XAOC 卍芷雲遊百寶箱,"['RPG', 'Massively Multiplayer']",650280.0
", ', A, c, t, i, o, n, ', ",Neon Shadow,"['Action', 'FPS', 'Cyberpunk']",296890.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",Rubber Ducky and the Rainbow Gun,"['Action', 'Indie']",416550.0
", ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, p, o, r, t, s, ', ",Mount Your Friends,"['Comedy', 'Funny', 'Multiplayer', 'Physics', 'Sports', 'Indie', 'Local Multiplayer', 'Competitive', 'Simulation', 'Co-op', 'Casual', '2D', 'Local Co-Op', '4 Player Local', 'Mature', 'Online Co-Op', 'Singleplayer', 'Sexual Content', 'Action', 'Psychological Horror']",296470.0
", ', I, n, d, i, e, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Galactic Inheritors,"['Strategy', 'Space', '4X', 'Indie', 'Sci-fi', 'Grand Strategy']",322540.0
", ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, p, o, r, t, s, ', ",Basketball Pro Management 2014,"['Sports', 'Simulation', 'Management']",261600.0
", ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Dungeon Manager ZV,"['Strategy', 'Simulation']",402300.0
", ', C, a, s, u, a, l, ', ",Doctor Watson - Treasure Island,"['Casual', 'Hidden Object']",446430.0
", ', C, a, s, u, a, l, ', ,,  , ', R, P, G, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', E, a, r, l, y,  , A, c, c, e, s, s, ', ",Fantasy Farming: Orange Season,"['Early Access', 'Simulation', 'RPG', 'Casual', 'Agriculture', 'RPGMaker']",416000.0
", ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ",Elements: Soul of Fire,"['RPG', 'Indie', 'RPGMaker']",340650.0
", ', A, c, t, i, o, n, ', ",EVE: Valkyrie – Warzone x24 Gold Capsule,['Action'],708523.0
", ', A, c, t, i, o, n, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ",Team Fortress 2,"['Free to Play', 'Multiplayer', 'FPS', 'Action', 'Shooter', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Trading', 'Cartoony', 'Competitive', 'Online Co-Op', 'Co-op', 'Robots', 'Comedy', 'Tactical', 'Crafting', 'Cartoon', 'Moddable']",440.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ",TowerClimb,"['Indie', 'Action', 'Adventure', 'RPG', 'Rogue-lite', 'Pixel Graphics', 'Platformer', 'Difficult', 'Rogue-like', 'Procedural Generation']",396640.0
", ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Turmoil Original Soundtrack,"['Strategy', 'Simulation', 'Indie']",539310.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Queen of Seas - Original Sound Track,"['Indie', 'Casual']",672530.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",4 Alice : Lorange Journey,"['Casual', 'Indie', 'Simulation', 'Text-Based', 'Female Protagonist', 'Singleplayer', 'Mystery', 'Short', 'Story Rich', 'Interactive Fiction', 'Multiple Endings', 'Adventure']",761160.0
", ', R, P, G, ', ",FINAL FANTASY® XIII,"['JRPG', 'Linear', 'RPG', 'Female Protagonist', 'Great Soundtrack', 'Singleplayer', 'Fantasy', 'Story Rich', 'Adventure', 'Cinematic', 'Sci-fi', 'Action', 'Third Person', 'Atmospheric', 'Turn-Based Combat', 'Action RPG', 'Futuristic', 'Turn-Based', 'Strategy', 'Difficult']",292120.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Episode 22 - The Adventures of Thumbling,"['Indie', 'Casual']",261411.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Ticket to Ride - Switzerland,"['Strategy', 'Indie', 'Casual']",108231.0
", ', A, c, t, i, o, n, ', ",Act of War: Direct Action,"['Action', 'Strategy', 'RTS']",2710.0
", ', R, P, G, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Lost Dimension: Level All Bundle,"['Strategy', 'RPG']",650242.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",Xotic,"['Action', 'Indie', 'FPS', 'Arcade', 'Sci-fi', 'First-Person']",92600.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",FORCED SHOWDOWN,"['RPG', 'Action', 'Indie', 'Strategy', 'Rogue-lite', 'Card Game', 'Singleplayer', 'Procedural Generation', 'Hack and Slash', 'Dungeon Crawler', 'Top-Down', 'Fantasy', 'Arcade', 'Rogue-like', 'Action RPG', 'Difficult', 'Action-Adventure', 'Adventure', 'Trading Card Game', 'Blood']",265000.0
", ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Rocksmith® 2014 – Flyleaf  - “Again”,"['Casual', 'Simulation']",436660.0
